key,source,target,category,id,part
/192685F8459C342A6ADFBB9F47D47EE9,反則級の隠しダマ,Запрещённый трюк,DT_WidgetSetting_Story_01_Episode,44,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/C8DF80EC4A2B3D3337DCA497C31BB9C7,スーパーチャージド レビン,Суперзаряженный Левин,DT_WidgetSetting_Story_01_Episode,45,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/90D490064AD185D90FD837827ACF6991,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,55,No_13_BB31986C448DD0869514518D818BD2A5
/0DE05A8D483CDD932EF51BA780F0BAA1,東京から来た二人,Два человека из Токио,DT_WidgetSetting_Story_01_Episode,55,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/8ABDFB3547F75FC186B93FAD6CC4CA15,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,56,No_13_BB31986C448DD0869514518D818BD2A5
/0126CE00452ABC01DF23C891A9ADC0FA,最後のインパクトブルー,Последний Импакт Блю,DT_WidgetSetting_Story_01_Episode,56,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/1360F3AC400D8968C4ACBAB50F108472,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,57,No_13_BB31986C448DD0869514518D818BD2A5
/555C598C4312248A850930A1D4255761,あくどい奴ら,Мерзкие люди,DT_WidgetSetting_Story_01_Episode,57,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/FF4998A14FDB73E3FCEAB9993A10C6B1,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,58,No_13_BB31986C448DD0869514518D818BD2A5
/354793524E147377D4127AA3827BD981,正々堂々,Честно и справедливо,DT_WidgetSetting_Story_01_Episode,58,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/0822FF2043674C44BC89C0A0A6B9EF7B,第５話,Эпизод 5,DT_WidgetSetting_Story_01_Episode,59,No_13_BB31986C448DD0869514518D818BD2A5
/DDEAD8254CA1E6E8A5ECB8A13A30DD8B,火の玉ガール,Горячая девушка,DT_WidgetSetting_Story_01_Episode,59,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/5D32A278449E340022E7E4B215123DA3,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,69,No_13_BB31986C448DD0869514518D818BD2A5
/AFA57A4B4EFFCBBA8815E28A6C676D16,ニセ者出現！？,Подделка появилась!?,DT_WidgetSetting_Story_01_Episode,69,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/5F18ED41401EBD0FF8D9049DAA03F4EA,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,70,No_13_BB31986C448DD0869514518D818BD2A5
/0DE04FCB4B2E1B5406377AA48F3EE235,神様のお膝元,На коленях у бога,DT_WidgetSetting_Story_01_Episode,70,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/911FCEAA4B9999CCDB813F899B530C74,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,71,No_13_BB31986C448DD0869514518D818BD2A5
/CDE5DB04454A2190FAF1F09EBD316E6A,意外な来訪者,Неожиданный гость,DT_WidgetSetting_Story_01_Episode,71,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/D32A662E4A418E2872F852804CFDCB3B,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,72,No_13_BB31986C448DD0869514518D818BD2A5
/7D3C90FD4A4DBD7D5814319AFF93F6E2,ゴッドアーム,Божественная рука,DT_WidgetSetting_Story_01_Episode,72,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/29C2939A462770DA1BC26AA6BB6F31FD,ゴッドフット,Божественная нога,DT_WidgetSetting_Story_01_Episode,73,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/7EA8A4ED451CA58633CA5786EEAC5C1A,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,74,No_13_BB31986C448DD0869514518D818BD2A5
/619CEE1D4FA30F7C00F6308A6D16529B,走りの聖地,Священное место для гонок,DT_WidgetSetting_Story_01_Episode,74,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/C3643ABB4CDD8B077D454490CADEF0CC,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,75,No_13_BB31986C448DD0869514518D818BD2A5
/F7F3D0E048945303D4051588750B8498,第一のライン,Первая линия,DT_WidgetSetting_Story_01_Episode,75,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/ADB12C1340CAD237D014A68B02CA6EBE,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,76,No_13_BB31986C448DD0869514518D818BD2A5
/5FEEFA264DDFEBA06E8A7D999341293E,最狂のクレイジーダウンヒル,Самый безумный кросс-кантри,DT_WidgetSetting_Story_01_Episode,76,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/6C13FD75441E8BF0316F1ABA82B01D55,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,77,No_13_BB31986C448DD0869514518D818BD2A5
/46B53F9C405272EB25469C894EA8D18E,レビン乗りの夜会,Ночь Левина,DT_WidgetSetting_Story_01_Episode,77,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/61CFF262404BD914ED2CACB0A2B4CE31,秋名の亡霊,Призрак Акины,DT_WidgetSetting_Story_01_Episode,78,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/91DAC2194127B2BA49B373B1691940E1,第１話,Эпизод 1,DT_WidgetSetting_Story_01_Episode,79,No_13_BB31986C448DD0869514518D818BD2A5
/6FD6375442EA67FC86A7A3AECFD90CDE,出張講習,Выездной семинар,DT_WidgetSetting_Story_01_Episode,79,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/D088D81F4F72107D7A861184109887D4,第２話,Эпизод 2,DT_WidgetSetting_Story_01_Episode,80,No_13_BB31986C448DD0869514518D818BD2A5
/5284E49E4CD7AC757BFCEDABDA11EB58,ミッドシップスペシャリスト,Специалист по среднему расположению,DT_WidgetSetting_Story_01_Episode,80,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/3DA0823C4BDCF4842E34B89A146F5F9F,第３話,Эпизод 3,DT_WidgetSetting_Story_01_Episode,81,No_13_BB31986C448DD0869514518D818BD2A5
/4F3B678D4E4E28122D220998633BAB80,トップレベルの正統派,Топовый традиционалист,DT_WidgetSetting_Story_01_Episode,81,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/584B42944CFD19B4BD9A21912850542B,第４話,Эпизод 4,DT_WidgetSetting_Story_01_Episode,82,No_13_BB31986C448DD0869514518D818BD2A5
/49E08BBF4DD15D4C834F78B7C05A736A,プロの世界,Мир профессионалов,DT_WidgetSetting_Story_01_Episode,82,Sub_9_639DEA75444471C18B35C08C38DF9C9D
/27574F5B4AA39E04824B5F8BBABC2021,伝説のＯＢ,Легендарный О.Б.,DT_WidgetSetting_Story_01_Episode,83,Sub_9_639DEA75444471C18B35C08C38DF9C9D
